debut application;fin application;mise a jour;status;cause;titre du message;corps du message;type objet;code objet référentiel IdFM
2022-01-18T00:35:00+01:00;2022-01-18T04:00:00+01:00;2021-11-25T13:40:03+01:00;future;travaux;Ligne H : Paris - Persan via Montsoult 03-31/01;<p>Période : en soirée<br>Dates : du lundi 03 au lundi 31 janvier 2022<br>Le trafic est interrompu entre Paris Gare du Nord et Persan - Beaumont via Montsoult - Maffliers.<br>Un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br>Les horaires du calculateur d'itinéraire ne tiennent pas compte des travaux.<br>Motif : travaux.</p>;line;C01737
2021-06-29T12:40:00+02:00;2022-07-03T02:40:00+02:00;2021-06-29T12:46:04+02:00;active;travaux;KEOLIS CIF BUS 15 : Arrêts JEAN GUIMIER, LEP BOUCHER et JAURÈS non desservis;"<p>En raison de travaux à Villepinte, <b>les arrêts JEAN GUIMIER, LEP BOUCHER et JAURÈS ne seront pas desservis du mardi 29 juin au vendredi 02 juillet 2021.</b></p><p>Merci de vous reporter à l’arrêt Brossolette selon le cheminement piéton indiqué.</p><p>Nous vous prions de bien vouloir nous excuser pour la gêne occasionnée.</p><p><a href=""https://www.keolis-cif.com/se-deplacer/voir-toutes-les-infos-trafic/details-de-linfo-trafic/trafic/main/Alerte/arrets-jean-guimier-lep-boucher-et-jaures-non-desservis/"" target=""_blank"">En savoir plus </a><br></p>";line;C00197
2021-12-28T23:50:00+01:00;2021-12-29T03:30:00+01:00;2021-11-25T13:00:10+01:00;future;travaux;Ligne D : Paris - Villeneuve St-G. du 6 au 30/12;<p>Période : en semaine à partir de 22h50.  <br>Dates : du lundi 6 au jeudi 30 décembre.<br>Les trains ne marquent pas l'arrêt à Créteil Pompadour, Le Vert de Maisons, Maisons-Alfort - Alfortville et Villeneuve Triage dans les deux sens.<br>Un service de bus de remplacement est mis en place entre Maisons-Alfort - Alfortville et Villeneuve Saint-Georges.<br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux.</p>;line;C01728
2018-12-20T01:00:00+01:00;2022-01-01T00:59:00+01:00;2019-01-26T01:13:13+01:00;active;perturbation;HOUILLES - travaux en Gare de Houilles-Carrières-s;À compter du jeudi 20 decembre 2018En raison de travaux  immobiliers necessitant le report des arrets en Gare deHouilles-Carrieres-sur-Seine,Le quai de la ligne J en Gare de Houilles-Carrieres-sur-Seine est deplace.Merci de vous reporter a l'arret provisoire situe au 15 Rue Robespierre aHouilles. (Prevoir 1 minute de marche).Merci de votre comprehension.|En savoir plus sur cette information|https://www.transdev-idf.com/horaire-ligne-j-bus_en_seine_016;line;C00316
2021-12-09T23:00:00+01:00;2021-12-10T03:00:00+01:00;2021-11-11T21:35:01+01:00;future;travaux;Ligne E : Haussmann SL.-Chelles-Gournay 6 au 10/12;"<p>Période : à partir de 22h00 jusqu'en fin de soirée<br>Dates : du lundi 6 au vendredi 10 décembre 2021<br>Le trafic est interrompu entre Haussmann Saint-Lazare et Chelles - Gournay.<br>En conséquence, un service de bus de remplacement est mis en place, avec desserte des gares intermédiaires.<br>Le service de bus à destination de Chelles-Gournay est au départ de la station de métro ligne 5 Bobigny Pablo-Picasso.<br><a href=""https://transilien.com//sites/transilien/files/2021-11/20211206-e-haussmannchelles-du6au10decembre.pdf"" target="""">Pour plus d'informations, cliquez ici pour télécharger l'affiche PDF.</a><br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux.</p>";line;C01729
2022-01-23T00:00:00+01:00;2022-01-23T13:00:00+01:00;2021-11-25T17:15:02+01:00;future;travaux;Ligne D : Châtelet les H. - Creil 22 et 23 janvier;<p>Période et dates :<br>du samedi 22 à 23h au dimanche 23 janvier 12h.<br>Le trafic est interrompu entre Châtelet les Halles et Creil.<br>Un service de bus de remplacement est mis en place entre:<br>La Plaine Stade de France et Creil<br>Creil et Paris Nord<br>Les horaires du calculateur d'itinéraire tiennent compte des travaux.<br>Motif : travaux.</p>;line;C01728
2021-09-28T13:30:00+02:00;2021-12-01T00:59:00+01:00;2021-09-28T13:50:07+02:00;active;perturbation;Transdev STBC Ligne 8;"<p><div class=""fckcontainer""><p>&nbsp";line;C01717
2021-06-23T02:00:00+02:00;2021-12-18T00:59:00+01:00;2021-10-05T14:42:42+02:00;active;travaux;Prolongation de perturbations sur la ligne 30-03, du mercredi 23 juin 2021 au dimanche 17 décembre 2021;<p>Nous informons notre aimable clientèle qu'en raison de travaux de renouvellement de la gare de Franconville, l’arrêt « Gare de Franconville » sera provisoirement reporté, du mercredi 23 juin 2021 au dimanche 17 décembre 2021.</p><p>Le terminus s’effectuera au 112 Boulevard Maurice Berteaux et les départs s'effectueront au 137 Boulevard Maurice Berteaux.</p><p>Des retards sont à prévoir.</p><p>Merci de votre compréhension.</p>;line;C02005
2021-11-26T07:00:00+01:00;2021-12-02T00:59:00+01:00;2021-11-25T11:53:01+01:00;active;travaux;Ligne 415 : Travaux à Lisses;<p>En raison de travaux à Lisses, les arrêts IEKA et Petits Champs ne seront pas desservis en direction de la Gare de Villabé le 01/12/2021 de 10h00 à 18h00. Veuillez vous reporter aux arrêts Aubépine et Les Brateaux.</p>;line;C01628
2021-10-27T11:40:00+02:00;2021-12-31T12:40:00+01:00;2021-10-27T11:49:58+02:00;active;travaux;Keolis CIF bus 27 : arrêt LES LIERRES – LOUISE MICHEL non desservi et arrêt EGLISE déplacé;"<p><b>A compter du mercredi 27 octobre 2021, </b>en raison de travaux sur Rue Gambetta :</p><p>• L’arrêt « LES LIERRES – LOUISE MICHEL » ne sera pas desservi,</p><p>• L’arrêt « EGLISE » en direction de Puits-la-Marlière sera déplacé sur rue du Pressoir.</p><p>Veuillez-vous reporter à l’arrêt « VICTOR HUGO », à 350 mètres de l’arrêt « LES LIERRES – LOUISE MICHEL ».</p><p>Nous vous prions de bien vouloir nous excuser pour la gêne occasionnée. </p><p><a href=""https://www.keolis-cif.com/se-deplacer/voir-toutes-les-infos-trafic/details-de-linfo-trafic/trafic/main/Alerte/arret-les-lierres-louise-michel-non-desservi-et-arret-eglise-deplace/"" target=""_blank"">En savoir plus</a><br></p>";line;C02059
